station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170422,42.08,60.08,,12.974252,360,27.066974,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170429,33.08,44.06,,17.671826,360,42.949248,0,0,1.57086699
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170519,50,66.92,,14.54011,360,31.093466,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170527,57.92,84.02,,11.855782,360,44.067718,0,0,0
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170103,4.1,25.16,,10.513618,360,25.948504,,,0
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170115,31.1,33.08,,5.816044,360,14.987498,,,0.33070884
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170214,23.18,51.98,,13.645334,360,35.119958,,,0
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170329,33.08,44.96,,16.77705,360,36.90951,,,0.09842525
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170409,35.96,69.98,,14.316416,360,44.962494,,,0
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170523,37.04,62.06,,13.42164,360,35.119958,,,0
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170730,62.06,82.04,,8.500372,360,35.119958,,,0.59842552
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170806,57.92,80.06,,6.487126,360,55.9235,,,2.03149716
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,20170916,48.92,69.08,,12.079476,360,36.90951,,,0
CLINES CORNERS,NM,35.0028,-105.6628,2159.8,20170827,51.98,84.92,,9.395148,360,36.014734,,,0
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170103,12.2,28.22,,10.06623,360,23.040482,0,0,0
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170214,25.16,48.02,,17.000744,360,33.106712,0,0,0
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170302,21.2,51.08,,12.30317,360,31.988242,0,0,0
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170416,46.94,64.94,,12.526864,360,31.988242,0,0,0.01181103
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170503,32,55.04,,14.092722,360,36.90951,0,0,0.01968505
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170511,39.92,53.96,,15.211192,360,31.988242,0,0,0.46850419
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170522,46.94,66.92,,12.526864,360,38.922756,0,0,0.05118113
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170523,37.94,62.96,,17.000744,360,38.922756,0,0,0
SPRINGFIELD COMANCHE,CO,37.2833,-102.6139,1335.9,20170805,57.02,89.06,,11.855782,360,29.08022,0,0,0
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170103,21.2,33.98,,14.316416,360,29.08022,0,0,0
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170214,32,51.08,,16.105968,360,34.001488,0,0,0.01181103
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170220,35.96,69.98,,16.329662,360,44.067718,0,0,0
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170317,42.98,77,,10.961006,360,29.08022,0,0,0
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170410,37.94,68,,8.276678,360,29.08022,0,0,0
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170429,33.08,42.98,,23.711564,360,46.080964,0.9842525,0,1.01968559
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170525,46.04,95,,9.395148,360,36.014734,0,0,0
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,20170828,57.92,86,,6.934514,360,21.027236,0,0,0
ODESSA SCHLEMEYER FLD,TX,31.9206,-102.3867,914.7,20170214,35.06,46.94,,12.974252,360,36.014734,,0,0.01181103
ODESSA SCHLEMEYER FLD,TX,31.9206,-102.3867,914.7,20170429,39.92,75.92,,16.553356,360,36.014734,,0,0.01181103
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170202,42.98,62.06,,10.289924,360,25.948504,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170312,48.92,64.04,,8.94776,360,46.97574,,0,0.03149608
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170401,57.92,86,,10.06623,360,38.922756,0,0,0.09055123
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170402,51.98,66.92,,13.869028,360,40.936002,0,0,0.31889781
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170422,55.94,75.02,,13.42164,360,36.90951,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170705,73.04,98.96,,10.513618,360,40.936002,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170802,71.06,89.06,,8.276678,360,31.093466,0,0,0.42913409
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170829,69.98,91.04,,8.724066,360,27.066974,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170903,69.98,91.94,,8.052984,360,27.066974,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170905,68,96.08,,7.158208,360,27.066974,0,0,0
ONTARIO INTL AP,CA,34.0561,-117.6003,289.3,20170130,41,75.92,,2.013246,360,12.079476,0,0,0
FLAGSTAFF PULLIAM AP,AZ,35.1442,-111.6664,2134.5,20170828,48.92,80.06,,3.802798,360,29.974996,0,0,0
FLAGSTAFF PULLIAM AP,AZ,35.1442,-111.6664,2134.5,20170904,51.98,87.98,,4.250186,360,23.935258,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170115,44.06,71.06,,3.802798,360,10.961006,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170130,42.98,78.08,,3.35541,360,12.079476,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170329,48.92,93.02,,4.026492,360,17.000744,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170904,77,100.04,,5.144962,360,17.000744,0,0,0
IMPERIAL CO AP,CA,32.8342,-115.5786,-17.7,20170108,42.98,69.08,,2.23694,360,10.06623,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170126,42.08,60.98,,7.605596,360,23.935258,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170129,48.92,73.04,,10.737312,360,23.935258,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170130,51.98,77,,8.724066,360,23.935258,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170202,48.92,75.92,,2.23694,360,14.987498,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170213,60.08,78.98,,8.500372,360,21.922012,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170214,55.94,78.98,,4.697574,360,18.119214,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170302,53.96,,,9.618842,360,23.935258,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170308,53.06,84.02,,6.934514,360,21.922012,0,0,0
YUMA MCAS,AZ,32.65,-114.6167,64.9,20170329,60.98,87.98,,8.052984,360,27.066974,0,0,0
MERCURY DESERT ROCK AP,NV,36.6206,-116.0278,984.5,20170327,44.06,68,,13.197946,360,38.922756,0,0,0
MERCURY DESERT ROCK AP,NV,36.6206,-116.0278,984.5,20170502,60.98,89.96,,7.605596,360,31.988242,0,0,0
MERCURY DESERT ROCK AP,NV,36.6206,-116.0278,984.5,20170517,51.08,75.92,,14.092722,360,46.080964,0,0,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170118,31.1,48.02,,2.23694,360,10.06623,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170127,27.14,39.02,,5.816044,360,23.935258,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170130,29.12,48.92,,2.23694,360,8.94776,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170410,39.92,64.94,,3.579104,360,14.092722,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170412,48.02,75.92,,4.697574,360,18.119214,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170415,48.92,75.92,,4.697574,360,18.119214,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170508,50,75.92,,4.250186,360,17.000744,,,0.03149608
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170528,60.08,84.02,,4.697574,360,19.01399,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170705,75.02,107.06,,4.250186,360,21.922012,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170715,73.94,102.92,,5.816044,360,35.119958,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170728,75.02,96.08,,8.500372,360,29.974996,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170903,73.04,102.02,,3.579104,360,25.948504,0,0,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170905,71.96,100.94,,5.368656,360,29.974996,,,0
PAGE MUNI AP,AZ,36.9261,-111.4478,1313.7,20170917,60.08,82.94,,4.026492,360,14.987498,0,0,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170114,22.1,27.14,25.88,2.684328,360,12.079476,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170401,27.14,57.92,41.36,5.816044,360,19.908766,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170402,27.14,57.02,42.26,7.381902,360,23.935258,,,0.01181103
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170421,24.26,55.04,39.92,6.039738,360,21.027236,0,0,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170428,24.26,44.96,34.88,10.961006,360,36.90951,,,0.05118113
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170507,32,69.98,50.36,5.816044,360,25.948504,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170529,35.96,82.04,60.62,4.921268,360,19.01399,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170618,48.02,89.06,69.8,5.368656,360,19.01399,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170624,46.04,91.04,69.08,6.263432,360,19.908766,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170731,48.02,95,72.32,6.039738,360,21.027236,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170814,50,75.92,65.84,6.263432,360,31.093466,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170902,48.02,93.02,69.26,4.47388,360,14.987498,,,0
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170905,51.98,96.08,73.22,6.039738,360,19.01399,,,0
RIVERSIDE MUNI AP,CA,33.9519,-117.4386,245.4,20170127,46.04,59,,11.408394,360,36.90951,0,0,0
RIVERSIDE MUNI AP,CA,33.9519,-117.4386,245.4,20170302,39.92,78.08,,6.934514,360,23.040482,0,0,0
PHOENIX DEER VALLEY MUNI AP,AZ,33.6883,-112.0817,443.5,20170106,46.94,62.96,,6.263432,360,19.908766,0,0,0
PHOENIX DEER VALLEY MUNI AP,AZ,33.6883,-112.0817,443.5,20170126,35.96,57.02,,6.487126,360,21.027236,0,0,0
PHOENIX DEER VALLEY MUNI AP,AZ,33.6883,-112.0817,443.5,20170426,60.08,87.08,,10.513618,360,25.053728,0,0,0
PHOENIX DEER VALLEY MUNI AP,AZ,33.6883,-112.0817,443.5,20170519,59,84.92,,8.052984,360,27.066974,0,0,0
PHOENIX DEER VALLEY MUNI AP,AZ,33.6883,-112.0817,443.5,20170730,80.96,98.06,,3.802798,360,17.000744,0,0,0
SCOTTSDALE MUNI AP,AZ,33.6228,-111.9106,449,20170518,64.04,84.92,,6.71082,360,27.066974,0,0,0
GRAND CANYON NP AP,AZ,35.9461,-112.1547,2013.5,20170307,14.18,55.94,,2.23694,360,16.105968,,,0
GRAND CANYON NP AP,AZ,35.9461,-112.1547,2013.5,20170404,19.22,48.92,,3.579104,360,19.01399,,,0
GRAND CANYON NP AP,AZ,35.9461,-112.1547,2013.5,20170518,24.26,51.98,,3.579104,360,27.066974,,,0
GRAND CANYON NP AP,AZ,35.9461,-112.1547,2013.5,20170603,39.02,84.92,,3.802798,360,19.908766,,,0
NOGALES INTL AP,AZ,31.4208,-110.8458,1198.5,20170207,33.98,69.98,,3.131716,360,21.922012,0,0,0
NOGALES INTL AP,AZ,31.4208,-110.8458,1198.5,20170712,62.06,87.98,,5.144962,360,44.962494,0,0,1.27165423
NOGALES INTL AP,AZ,31.4208,-110.8458,1198.5,20170826,64.94,96.98,,6.039738,360,40.936002,0,0,0.0787402
NOGALES INTL AP,AZ,31.4208,-110.8458,1198.5,20170911,64.04,96.98,,3.35541,360,16.105968,0,0,0.14960638
CLARKSBURG BENEDUM AP,WV,39.2956,-80.2289,366.7,20170322,27.14,50,,10.513618,360,31.093466,,,0
CLARKSBURG BENEDUM AP,WV,39.2956,-80.2289,366.7,20170329,44.96,60.98,,5.816044,360,14.987498,,,0
CLARKSBURG BENEDUM AP,WV,39.2956,-80.2289,366.7,20170512,50,59,,5.816044,360,14.092722,,,0.14173236
PARKERSBURG WOOD CO AP,WV,39.345,-81.4392,253.3,20170311,20.12,35.06,,7.381902,360,23.040482,,,0
PARKERSBURG WOOD CO AP,WV,39.345,-81.4392,253.3,20170515,50,75.02,,3.802798,360,12.974252,,,0
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170322,41,62.96,58.64,5.144962,360,23.040482,,,0
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170513,51.98,73.94,58.46,2.908022,360,10.961006,,,0.05118113
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170815,71.96,87.98,77.36,1.789552,360,17.000744,,,0.09055123
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170823,69.08,87.98,78.62,2.23694,360,18.119214,,,0
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170105,25.16,33.08,,8.500372,360,21.027236,0,0,0
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170107,6.26,20.12,,7.381902,360,23.040482,0,,0
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170122,55.04,60.08,,8.052984,360,35.119958,0,0,0.18110246
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170209,27.14,42.08,,8.276678,360,27.96175,0,0,0
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170315,24.26,39.92,,6.934514,360,17.000744,0,0,0
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170828,62.96,80.96,,3.579104,360,19.01399,0,0,0.33070884
JACKSON MCKELLAR AP,TN,35.5931,-88.9167,132,20170912,59,64.04,,8.052984,360,25.948504,0,0,0.85039416
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170216,30.2,51.98,39.92,8.724066,360,33.106712,0,0,0
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170217,28.22,68,44.06,4.250186,360,14.092722,0,0,0
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170226,28.22,53.96,39.56,7.158208,360,25.053728,0,0,0
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170412,55.94,78.08,66.74,6.934514,360,23.040482,0,0,0
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170528,60.08,78.98,68.72,6.263432,360,23.935258,0,0,0.0787402
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170709,60.98,84.02,69.62,3.579104,360,12.974252,0,0,0.01968505
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170813,68,82.04,72.5,3.35541,360,14.092722,0,0,0.07086618
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170408,35.96,73.04,55.04,2.908022,360,14.092722,0,0,0
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170522,66.92,87.08,75.02,3.579104,360,17.000744,0,0,0.12992133
PADUCAH,KY,37.0683,-88.7719,119.5,20170106,14.18,21.2,18.32,9.618842,360,19.908766,0,0,0
PADUCAH,KY,37.0683,-88.7719,119.5,20170208,31.1,48.92,48.02,11.632088,360,29.08022,0,0,0
PADUCAH,KY,37.0683,-88.7719,119.5,20170505,46.04,66.02,53.42,14.316416,360,40.041226,0,0,0.61811057
PADUCAH,KY,37.0683,-88.7719,119.5,20170506,44.96,75.92,58.82,10.06623,360,35.119958,0,0,0
PADUCAH,KY,37.0683,-88.7719,119.5,20170808,64.94,84.92,73.94,6.039738,360,21.922012,0,0,0
PADUCAH,KY,37.0683,-88.7719,119.5,20170823,57.92,82.04,73.58,4.026492,360,21.922012,0,0,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170213,48.02,75.92,,4.697574,360,18.119214,,,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170608,66.02,86,,5.816044,360,17.000744,,,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170727,73.94,93.02,,3.802798,360,14.987498,,,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170906,69.98,84.92,,6.487126,360,19.908766,,,0
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170107,30.2,44.96,40.82,11.408394,360,29.974996,0,0,0.35039389
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170512,66.02,89.96,79.88,5.59235,360,21.922012,0,0,0
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170616,73.04,91.94,80.78,3.802798,360,23.040482,0,0,0.01181103
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170626,66.92,89.96,81.32,4.921268,360,19.908766,0,0,0
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170711,71.96,93.02,79.34,3.579104,360,23.935258,0,0,0.20078751
SAVANNAH INTL AP,GA,32.13,-81.21,14,20170627,73.04,86,78.26,4.697574,360,25.053728,0,0,0.0787402
SAVANNAH INTL AP,GA,32.13,-81.21,14,20170813,77,93.92,83.66,6.487126,360,23.935258,0,0,0.09055123
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170106,14.18,23.18,21.38,8.94776,360,19.01399,,0,0.0393701
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170107,8.24,19.22,13.64,8.724066,360,23.935258,0,0,0
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170214,28.22,50,39.56,2.460634,360,14.987498,,0,0
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170315,17.24,33.08,24.26,9.171454,360,23.935258,,,0
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170422,50,69.08,61.34,4.921268,360,27.066974,0,0,1.61023709
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170508,41,71.06,55.22,4.250186,360,19.01399,,,0
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170523,57.92,71.06,62.78,1.565858,360,10.961006,,,0.07086618
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170620,57.02,82.04,69.26,2.23694,360,14.092722,,,0
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170716,64.94,84.92,74.66,2.23694,360,14.092722,0,0,0
LONDON CORBIN AP,KY,37.0872,-84.0769,362.1,20170107,8.24,19.22,,7.381902,360,18.119214,,,0
LONDON CORBIN AP,KY,37.0872,-84.0769,362.1,20170115,42.08,48.02,,3.35541,360,12.079476,,,0.01968505
LONDON CORBIN AP,KY,37.0872,-84.0769,362.1,20170322,35.06,51.98,,10.289924,360,23.935258,,,0
LONDON CORBIN AP,KY,37.0872,-84.0769,362.1,20170602,57.02,82.94,,2.460634,360,14.092722,,,0
LONDON CORBIN AP,KY,37.0872,-84.0769,362.1,20170720,66.02,91.04,,2.460634,360,14.092722,,,0
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170108,32,44.96,,9.618842,360,25.948504,,,0
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170205,51.98,64.04,,5.368656,360,19.908766,,,0
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170302,55.94,71.06,,7.381902,360,21.027236,,,0.53937037
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170316,35.06,51.98,,6.263432,360,21.922012,,,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170105,30.2,42.08,35.06,6.487126,360,19.908766,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170107,14.18,28.22,21.02,11.1847,360,27.066974,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170203,30.2,46.94,41.72,11.408394,360,27.066974,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170209,33.08,48.02,44.96,11.408394,360,29.974996,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170215,37.94,53.96,48.92,10.737312,360,27.066974,0,0,0.33858286
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170813,69.98,89.06,79.34,3.131716,360,14.092722,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170917,69.08,87.08,75.38,2.908022,360,14.092722,0,0,0.44094512
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,20170602,53.06,73.04,,5.144962,360,23.935258,0,0,0
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,20170603,53.06,75.92,,3.131716,360,16.105968,0,0,0
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,20170725,62.06,78.08,,4.026492,360,17.000744,0,0,0
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,20170729,53.96,66.92,,5.59235,360,19.908766,0,0,0.11023628
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,20170730,50,75.02,,3.802798,360,17.000744,0,0,0
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,20170731,55.94,77,,2.013246,360,14.092722,0,0,0
